text
"Coca-Cola Bedava 2 Litresini Vermiyor,""Coca-Cola 2.5 litre alıyoruz marketten kapakta bedava 2 litre kazandınız diyor. Promosyon ve kampanya tarihi geçmemiş olduğu halde marketlerden bedava çıkan kolayı alamıyoruz. Sözde market sahibi önceki kapakların parasını alamadığını Coca-Cola'dan alacaklı olduğunu, bu yüzden bedavaları vermediğini...Devamını oku"""
"Doğuş Spor Kulubü Memnuniyetsizliği!,""2 aydır bu salona kickboksa gidiyorum. Sayısız kere hocanın gelmemesi, dükkanın durduk yere kapalı olması. Üstüne ilk başladığımda parasını verdiğim eşofmanı hala alamadım (Sürekli günü güne sattı) Müessese sahibi N** T** ve S**** isimli şahıstan şikayetçiyim. Gereğinin yapılmasını arz ederim.Devamını oku"""
"Nilfisk Memnun Değilim!,""Hayatımda aldığım en kötü elektronik ürün. Yaklaşık 8 ay önce Nilfisk handy 2 in 1 cihazını aldık - elektrikli el süpürgesi kategorisinde geçiyor - kullanıma bağlı hiçbir sebep olmamasına rağmen 3 kez servise gitti. Uzun bir süre aletin gelmesini bekledik üstelik hiçbir ilerleme yok, süpürge bırakın...Devamını oku"""
"Yapı Kredi Bankası Kart Üyelik Ücret İadesi,""Şahsıma ait 5157 ile biten Worldcard kredi kartıma 05 Haziran 2020 tarihinde 158,50 Tl Kart üyelik ücreti yansıltılmıştır. Tüketici kanunu 28 Mayıs 2014 31. Madde 3. Fıkra:kart çıkaran kuruluşlar tüketiciye yıllık üyelik aidatı ve benzeri isim altında ücret tahsil etmedikleri bir kredi kartı sunmak ...Devamını oku"""
"Emsan Mutfak Aldığım Ürün Daha Gelmedi,19.03.2020 tarihinde bir termos sipariş verdim neredeyse 1 ay oldu ama hala gelmedi. Müşteri hizmetlerini defalarca aradım lakin açan yok ve sesli mesaj bırakmama rağmen geri dönüş de yapan olmadı. Instagram'dan da yazdım mail de attım ama cevap veren bir Allah'ın kulu yok. Parayı çat diye alırken i...Devamını oku"
"Goddess of Bodrum Tam Anlamıyla Fiyasko!,""16-20 Eylül tarihleri arasında konakladık, her şey baştan aşağı berbat tek güzel olan otelin plajı idi. Odaya bebek için pike istedik 4. Arayışımızda kapıyı bir kez çalarak biz açmadan dan diye içeriye daldılar, yetmezmiş gibi başka misafirden kalmış küçücük battaniye getirdiler, yemekler zaten berb...Devamını oku"""
"Busratemizlik.org Personeli Bomboş Evi Düzgün Temizlemedi!,""Busratemizlik.org adlı şirket ev temizliği için ailem tarafından aranmıştır. Yeni kiraladığımız tamamen boş olan ev için gelen personel iş sebebiyle evde bulunmadığım için işi salmış. Bomboş olan evde zaten ne temizlik olabilir. Mutfak dolabını banyo dolabı temizlenmemiş, küvet desen hakeza öyle, ca...Devamını oku"""
"Kanguru Matematik Siteye Giriş Yapılamıyor!,""6. Sınıfa gidecek oğlum sınava girecek, saati geldi geçti ancak siteye girilmiyor. Kimseye ulaşamadık, ulaşmak imkansız, zaten yalnızca 1 cep telefon numaraları var ona da ulaşmak imkansız, WhatsApp'dan yazıyorum cevap yok, kayıt için de aynı bu şekilde 3 gün uğraşmıştım, her neyse Kanguru Matematik...Devamını oku"""
"Fiat Sıfır Aracımın İlk Çalışmasında Ses Gelmesi,01.02.2020 tarihinde Ankara Kartaş Otomotiv bayisinden 2020 Fiat Egea 1.4 Easy benzinli aracını aldım. Aracımda ilk çalıştırma esnasında tık diye bir ses duyulmaktadır. Kontağı kapatıp tekrar çalıştırdığımda böyle bir ses yapmamaktadır. Kartaş firmasına 2 defa konu ile alakalı servis formu açtırılmı...Devamını oku"
"Kappa Tur'daki Sorunlar,""2 Ekim-6 Ekim arası Tatilsepeti'nden aldığım Kappa Tur Selanik-Atina-Kavala turuna katıldım. Şikayetlerim şöyle:"
"Coca-Cola İçinden Taş Ve Yabancı Cisim Çıktı!,Dün marketten aldığım 1.5 litrelik Coca-Cola içinden siyah bir taş ve dibinde garip bir oluşum fark ettim taş siyah renk olmasından dolayı sonuna kadar gelince gördüm bir de dibindeki garip oluşum zaten pet şişeye yapışık vaziyette duruyor. Konu ile ilgili yetkililerden cevap bekliyorum. Aksi takdir...Devamını oku"
"Avşar Sinemaları Optimum'da Bilet Veren Bayan Tersledi,""20.09.2017 saat 16:15 seanslı sinemaya bilet almak için Optimum Avşar Sineması'na gittim. Bilet veren T** adındaki bayan yanındaki bilet veren bayan ile sohbet ediyordu, ben de bilet almak istiyorum dedim, beni tersledi, bağırarak cevap verdi. Onun görevi bilet vermek sohbet değil.Devamını oku"""
"Akbank En Kısa Sürede İademi İstiyorum,Bugün Akbank üzerinden yaptığım trafik cezası ödemesi için aynı işlem için iki kez ödeme almışlar. Buraya yazmadan muhtemelen kolay kolay dönüş yapmayacaklar. Bütün gün bir de reklamlarda bu bankayı görüyoruz. En kısa sürede iademi istiyorum.Devamını oku"
"Samsung Mikrodalga Fırın Faturamı Göndermedi!,Trendyol sitesi üzerinden Samsung Türkiye satıcısı kanalı ile 2 Mayıs'ta sipariş verdiğim (Trendyol Sipariş no...: 2816***33) MS23K3555ES kodlu ürün 14 Mayıs'ta ulaşabildi. Ağustos 2019 üretim geldi. Döner tablası (plastik) kırık geldi. Değişimi için 4-5 gün bekledim. Ürünü çok kullanma fırsatımız o...Devamını oku"
"Arzum Ürün Hala Gelmedi,""09.05.2020 tarihinde https://www.Arzum.com.tr/ adresinden TS0905332535 sipariş numarası ile aldığım ürün gönderilmedi. Ürün hazırlanıyor olarak gözükmektedir. Defalarca mail atmama, müşteri hizmetleri ile görüşmeme rağmen hala bilgi alamadım. Ürün stokta yoksa ve gönderilmeyecek ise neden satışı yap...Devamını oku"""
"Mobee Ürünün Eksik Gönderilmesi,Trendyol uygulaması üzerinden Mobee Teknoloji ' den masaj aleti sipariş ettik. Kutu içerisinden güç adaptörü ve elektrik adaptörü çıkmadı. Ayrıca ürünün içerisine konulduğu poşet de gelişi güzel bağlanmıştı. Başkası tarafından iade edilen ürünün kontrol edilmeden gönderildiğini düşünüyorum. Ürünü ia...Devamını oku"
"Toyota Auris Turbo Arızası,""2012 Model Auris aracımızı ilk alındığı günden beri harici servise götürmedik. Buna istinaden hala garantisi var, kendileri verdi garantiyi km si düşük servis dışına çıkmamış diye 103 bin km de şu an araç. Pendik Dumankaya Toyota'ya gideriz yıllardır hiç şaşmadık, şimdi turbodaki uğultuyu yağ yakmay...Devamını oku"""
"Rowenta Süpürgenin Çekim Gücü Yok,""Bundan 4 sene önce 900 TL aldığımız Rowenta silence marka süpürgenin gittikçe performansı düştü. Servisine götürdük 2 yıl üst üste filtresini değiştirdik, ondandır dediler AMA değişen hiçbir şey olmadı. Bir de 100 TL verdik. Sonra bir muhatap bulamadık.   Bir tamirciye sorduğumda artık Rowenta'nın d...Devamını oku"""
"Boyner Asla Tedarik Edilemeyen Ürün,Yaşadığımız olumsuz şartlar altında kargo gecikmeleri tabi ki hoş karşılanır. Ama daha tedarik edilememesi çok garip. 24 Mayıs günü verdiğim siparişim hala daha tedarik edilemedi. Kargoya verilmiş olması gerekirdi. Kargoya verilmesi 1 ay alacak sanırım. Lütfen bir an önce çözüm bulunsun.Devamını oku"
"Nescafe Çekiliş Sayfası Hata Veriyor!,""Nescafe çekiliş sayfasına şifre girişi yapamıyoruz, kitleniyor kabul etmiyor vs. Lütfen bu konuyla ilgilenin şifre giremiyoruz günlerdir ve bu sorunu çözmek için bir çaba ya da gayret yok. Kendi internetimden kaynaklanan bir hata değil onu da belirtmek isterim.Devamını oku"""
"Cinemaximum İstinyePark Salonunun Kötü Kokusu,""Dün akşam 21:00 seans annem sinema filmine gittik. Salonda bizimle birlikte 4 kişi vardı. Salon inanılmaz derecede kokulu ve havasızdı. Ya ayak kokuyordu, ya başka bir şey. Filmi burnumuzu tutarak izledik. İlk yarıda gördüğümüz personele konuyu ilettik. Sen bak sen müsaitsin diye diye kendi araların...Devamını oku"""
"Boyner Kargom Başka Yere Teslim Edildi!,22.05.2020 tarihinde Boyner'den sipariş verdiğim 190921***304 gönderi kodlu belge numarası xm***304 kodlu ayakkabım 29.05.2020 saat 11:00 de başka bir adrese teslim edilmiş bir daha Yurtiçi Kargo'dan ve Boyner'den sipariş vermeyeceğim. Boyner yetkilileri ilgilenirseniz sevinirim teşekkürler.Devamını oku"
"Biobellinda Hediye Koli Adı Altında Ödeme İstediler,Bundan 1 2 sene önce üye oldum fakat hediye koli altında 252 TL borçlandırıldım şu an avukatları arayıp benden 575 TL falan ödeme yapmamı talep ediyorlar. Ödeme yapmazsam avukatlarına zorla alacakları yetmezmiş gibi bir de avukat masrafı falan yansıyacakmış bana hediye altında o koli yollandı. Neden...Devamını oku"
"Mars Athletic Club-Macfit Üyeliğin İptal Edilememesi,""Yaklaşık 1,5 yıllık Mars Athletic Club-Macfit üyeliğimi iptal etmek istiyorum. Bunun için firmanın ne genel merkez numarasını bulabildim, ne de salondan yardımcı oldular. İnternet sitesine online olarak üyelik düzenleme bölümüne girdiğimde ise üyelik iptal edebilme butonu aktif değil. Üyeliğimin ipt...Devamını oku"""
"Digiturk Bein Connect Üyesi Oldum Ama Donuyor,""Bein Connect üye falan olmayın pişman olursunuz. Ben üyelik yaptım uygulamaya giriyorum film izlemeye başlayınca 30 saniye de bir donuyor Wi-fi'den bağlandım yine kaşıyor. Bein Connect vereceğiniz parayı, neflix'te verin pişman olmayın sonra. 1. Ay iyiydi donmuyordu  2nci ay bayağı donuyor.Devamını oku"""
"Sağlık Bakanlığı Maske Tedarik Edilmedi!,Şu yurt dışına gönderdiğimiz maskelerin bir kısmi bize dağıtılsın. Korona bitecek hala maskemiz yok. İngiltere'ye zorla medikal malzeme gönderiyorsunuz gibime geldi.Devamını oku"
"Renault Mais Değişen Parçanın Garantisizliği,""2015 Model Renault Fluence 1.5 dCi EDC İcon Prestij paket araç sahibiyim. 2018 yılı sonunda aracımın direksiyon kolonu, kronik ses probleminden dolayı, aracım garantili olduğu için Ankara Mais Şube’de değişti. Ancak yaklaşık 1 sene sonra aynı ses probleminden dolayı Mais İzmir Şubede aracıma direksi...Devamını oku"""
"Green Park Otel Ankara Yemeğe Gidip, Eve Aç Döndük,The Green Park Ankara Otelinize dün akşam arkadaşımızın yemek daveti olduğu için katıldık. Dans etmeye her kalkışımızda 30kişinin birden ana yemekler ve daha sonra da meyve tabakları hiç kimse yiyemeden anında kaldırıldı. Bir sürü para verilen böyle büyük bir firmanın bu şekilde davranması çok çirk...Devamını oku"
"D-Smart Türk Filmleri Hep Aynı,D-Smart'a yeni abone oldum. Abone olduğum günden beri ne zaman Türk Fimi izlemek istesem Hülya Koçyiğit'in filmi. Gına geldi artık. Hülya Koçyiğit'i severdim sevmez oldum artık. Nedenini de hiç merak etmiyorum. Böyle gitse aboneliğimi iptal ettireceğim.Devamını oku"
"Ersağ Yüzüm MahvOldu!,Yüzümde hiçbir sivilce ve leke yoktu pürüzsüzdü. Taki Ersağ Incı maskeye kadar ve yüzüm sadece 2 kullanımda sivilce doldu ve Duru pürüzsüz yüzüm pütür pütür oldu. bir de her cilde uygun yazıyor ben sadece derinden temizlenmesi için aldım ama sinirden ölüyorum elim hep yüzümde sürekli aynaya bakıyoru...Devamını oku"
"Penti Kargolanmayan Ürün Problemi,""02551719 numaralı siparişim sözde kargolanmış olarak görünmekte ama Yurtiçi Kargo tarafından nedense öyle bir kargo numarası olmadığı söylenmektedir. Telefon açarız bakmazsınız, mail atarız belki dönersiniz diye ama dönülmüyor. Daha kargolanmadan iptal talebi ilettim ama kargolanmamış ürünün faturas...Devamını oku"""
"Gymotion Üyeliğimizi İptal Etmek İstiyoruz, Paramız Ödenmiyor,""İkametgah değişikliği sebebi ile üyeliğimizi iptal etmek istiyoruz, paramız ödenmiyor. Sorunun giderilmesini rica ederim.Devamını oku"""
"İPhone Home Tuşu Titreşimi Olmuyor,İPhone 8 Plus telefonumun orta Home tuşu ve titreşimi çalışmıyor. Daha önce garantiye gönderdim ve ekran değiştirdiler. Şimdi garanti bitti faturası da mevcut değil maalesef tekrar servise gönderip olumsuz yanıt alınca Tüketici Hakları'na başvurabilir miyim?Devamını oku"
"Ebebek Kargo Ücreti Aldı!,""5739512141 numaralı siparişimin toplam tutarı 196,35 TL'dir, yaptığım alışverişimden kargo ücreti alındı. 150 TL üstü alışverişlere ücretsiz kargo sisteminizde neden kargo ücreti ödüyorum?  Devamını oku"""
"Pronet İptal İşlemi Yapmadı!,Pronet'in 582338 Sistem numaralı müşterisi bulunmaktayım. Ekonomik olarak ödeme zorluğu dolayısıyla Sisteminizden ayrılmayı Müşteri Temsilcimize defalarca söylemiş olmama rağmen sistemden çıkış işlemi yapılmadığı gibi borçlanma bedeli her geçen zamanda artış göstermektedir. Lütfen aboneliğimi iptal ...Devamını oku"
"Beşler Sorumsuzluğu!,Bugün 22.10.2019 tarihinde istegelsin online marketten Beşler marka 500gr yağsız dana kuş başı aldım bildiğiniz yağ ve sinir içinde ayrıca kuş başı demeye bin şahit ister içerisi resmen rastgele parçalanmış atılmış bir daha Beşler marka hiçbir ürünü evime sokmam ayrıca ürünün sadece görünen kısmında...Devamını oku"
"ABC Deterjan Yumuşatıcı Kıyafetlerimi Mahvetti,A101'den ABC markalı bir yumuşatıcı aldım. Çamaşırlarımı makineden çıkarttığımda yağ sıçramış gibi her yeri benek benek oldu. Bir çok markalı eşyalarım kullanılmayacak durumda. Tekrar yıkadığımda da sonuç aynı. Almış olduğum kıyafetlerin yenilenmesini veya ücret iadesi istiyorum.Devamını oku"
"FLO Ayakkabı Siparişte Gecikme Yaşanması,16 Mayıs'ta vermiş olduğum 20051617195503 numaralı siparişim hala kargoya dahi verilmemiş. Ama faturam kesilip mail adresime yollanmış bu yüzden iptal de edemiyorum. Her gün indirimler kampanyalarla ilgili mail atıp duruyorlar sanki sipariş verince yolluyorlarmış gibi. Çok pişman oldum sipariş verdi...Devamını oku"
"Başkent Doğalgaz Her Ay Fazladan Para Alıyor!,""02.01.2020 tarihinde doğalgaz kartına PTT üzerinden 400 TL yükleme yaptırdım. 197 m3 gaz geldi ama o gazın fiyatı 299,61 TL KDV 53,93 toplam 353,54 geri kalan 46,46 nerede her ay bunun gibi para alıyorsunuz. Bu geçen ay 215 m3 gelmişti ve 30 a yakın para yine boştaydı.Devamını oku"""
"Etimesgut Belediyesi Kanalizasyon Atıkları Dışarıda Ayrıca Koku Var,Etimesgut Belediyesi Sr Döner adlı firmanın kanalizasyona atmış olduğu yağlar nedeniyle tıkanıp lağım atıklarının binanın girişine çıkmasına kötü koku yapmasına resmen göz yummaktadır. Şikayet etmeye çalışıyorum şikayet edebilsem bile sonuç alamıyorum. Ne yapmam gerek? Yani o lağım atıklarının dışar...Devamını oku"
"United Club Kalitesiz,""Koşu bantları ölü, havalandırma sıkıntılı teknolojinin ilerlediği bu zamanda hala taş devri koşu bantları kullanılıyor ve çalışmıyor çoğuda zaten. Üyelik yenilemeyeceğiz anlaşıldı.Devamını oku"""
"Ziraat Bankası Değerlendirme Aşaması Bitmedi Gitti,Sn... Ziraat Bankası 1 aydır destek kredisi başvurum hala değerlendirmede yazıyor. Tüm yakınlarım faydalandı. Şikayetten ziyade kimseden cevapta alamıyorum. Her tanıdığım faydalandı... Olup olmayacağını bir an önce netleştirmek istiyorum artık ve neden insanlara pat diye onay verip beni bu kadar oya...Devamını oku"
"Pilot Garage'da Bilgi Eksikliği!,Çumra Konya'da Pilot Garage şubesinden Antalya'dan gelen müşterime aracı satmak için alıcı check up yaptırdı aracım Hyundai Assan dizel 1.5 check up da motor performans %89 çıktı dizel araçlarda yağ kapağında buhar gelmesi normal ama alıcıya motor üflüyor Motor sıkıntılı diye müşteriyi vazgeçirdi bö...Devamını oku"
"Arçelik Kazanlı Ütü Arızası!,Arçelik'ten kazanlı ürün aldım. Daha 1 sene geçmeden ütüm bozuldu. Teknik servise yönlendirdiler. Ütünün parçasını tedarik edemedikleri için garanti kapsamında yeni ürünle değişim yaptılar. Yeni ürün sıfır geldi. Ürünü açtık fişe taktık kullanmaya başladığım an ürünün her yerinden su akmaya başladı....Devamını oku"
"Parex Mop Aldığım Günden Beri Sorun Yaşıyorum,Parex Vileda aldığım günden beri sorun yaşıyorum şimdi de sapı dönmüyor ve mop çalışmıyor. Marka diye aldığım ürüne bakın ya sizden şikayetçiyim.Devamını oku"
"Tofita Halen Para İadesi Yapılmadı,Bu ikinci şikayetim Tofisa ya bir ay önce yapmış olduğum iade sonucu param iade edilememiştir Şikayetvar'a şikayet etmeme rağmen bana dönüş sağlanmış ve iki gün içinde iade yapılacağını iletmişlerdir ve yapılan görüşme ardından 2 hafta geçmesine rağmen param iade edilmemiştir gereğini yapılmasını ar...Devamını oku"
"Finish Powerball Makinede Erimiyor,Finish tablet makinede erimiyor. Bardaklar hep kalıntılı çıkıyor. Tekrar durulamak zorunda kalıyoruz. Bir daha asla almayı düşünmüyorum ama bence yetkililer gerekeni yapsın. İnsan sağlığıyla oynanıyor hem de paramıza yazık.Devamını oku"
"Atasun Optik Müşteri Memnuniyetini Hiçe Sayan Müdür!,Eskişehir Espark Atasun Optik'ten 16/05/2018 günü anneme satın aldığımız gözlüğü 18/05/2018 tarihinde gözlük caminin colormatiği yetersiz geldiği için geri götürdük. Satış elemanı 120 TL farkla daha kaliteli colormatik camla değiştireceklerini söylediler hatta satış elemanı fiyat farkını işlem bitti...Devamını oku"
"Markantalya AVM Sbarro Şubesinde Hamam Böceği!,08.01.2020 tarihi akşam saat 21:09 da Markantalya AVM Sbarro şubesinden 19.45 TL'lik Ö** K*** adına sipariş verdik. Siparişi almaya gittiğimde pizzanın çıkmasına 2 dakika var dediler ve beklemeye başladım. Beklerken bir anda önümdeki tepsilerin üzerinde hamam böceğinin gezdiğini gördüm. Hamam böceği...Devamını oku"
"Şenol Hukuk Bürosu Borç Bilgilerimi Tanımadığım İnsanlarla Paylaşıyorlar!,""Bize ait borç bilgisini, tarafımız hariç herkese mesaj olarak atıyorlar. Ailemizi geçtim, bizim tanımadığımız insanlara bile icralık olduğumuza dair mesaj atmışlar. Bu nasıl bir hukuk bürosudur nasıl bir hizmet anlayışıdır. Muhatabın rızası olmadan habersizce kişiye ait bilgiler nasıl olur da başkal...Devamını oku"""
"Atiker Bayi Afr Ayarı Yapmıyor,İki sene önce Atiker Gold taktırdım. Bulunduğum yerdeki bayi afr ayarı yapmıyor. Enjektör debi ayar makinesi bile daha yeni geldi. Muhtemelen oda ücretli. 2000 TL para ver ne ayar var ne de başka bir şey 20-30 bin km sonra sübabları alırız elimize. Koskoca Atiker de bir makinesi ve afr ayarı neden y...Devamını oku"
"Foriba Alıcısına Ulaşmayan Faturam,""Merhaba"
"HP Monitorde (24Es) Dikey Çizgi Oluştu,""HP marka 24es model ıps ekranımda garantisi dolduktan 1 ay sonra dikey çizgi (vertical banding) oluştu."
"Mustela  Şampuan Göz Yakıyor!,Sözde göz yakmadığını zannettiğimiz Mustela Genettle şampuanınız göz yakıyormuş. Hem de çok fena bebeğim 15 gündür banyoda ağlama krizlerine giriyordu anlam verememiştim. Bugün bir demedim ki. Üzgün olduğumu anlatamam size bu konuda bir açıklama bekliyorum hem de çok ciddi bir şekilde!Devamını oku"
"İgdaş Faturalar Şişmiş!,Abno :500101836274 numaralı ft no... 60329289247F faturama 435 TL bu yaz gününde gelmiştir. Otomatik ödemede olduğu için ödenmiştir. Bütün kış döneminde görmediğim bu fatura için hatanın düzeltilmesi bir an önce gereğinin yapılmasını düzeltilmesini diliyorum el insaf.Devamını oku"
"Tolga Spor Center Üye Yap Sonra Gelme De,Aydın Efeler'de bulunan 13.3.2019 Tolga Center spor üye oldum. Üye olurken istediğim zaman gidebileceğimi zaman sınırlaması olmadığını fakat parayı aldıktan sonra 2 gün gittikten sonra 3 gün bugün neden geldin dedi. Yaptığından psikolojik olarak rahatsız olduğumu söyledim. Derken spor sorasında koşu...Devamını oku"
"Sarsılmaz Silah Sar 9 Tapanca 15 Gün Sonra Bozuldu!,Sarsılmaz sar 9 silahımı 25.09.2018'de aldım. 15 gün sonra bozuldu müşteri hizmetleri size dönüş yaparız dediler sonuç fiyasko ne arayan var ne soran beni hayal kırıklığına uğrattı boş silah silahı buraya getirin diyorlar bu mu iş ben ta Türkiye’nin diğer ucundayım.Devamını oku"
"Eti Gıda Eti Petito Rengi Ve Tadı Açısında Tuhaflık Mevcut,Altı paket almış olduğum sekizli Petito mini gerek rengi gerekse tadı açısında tuhaflık mevcut. Kötü bir tat ve pütür pütür mide bulandıracak bir etki gösteriyor. Tüketim tarihinde de herhangi bir sorun yok. Ürünlerin görselleri ekte mevcut. Bu sorunun neden kaynaklandığını ve güvenilir bir mağazada...Devamını oku"
"Cinemaximum'un  Fahiş Bilet Fiyatları!,""Cinemaximum bilet fiyatlarını abarttı. Bir öğrenci bilet fiyatı 20 TL'yi geçiyor. Oyuncular dahi açıklama yaptı 10-12 lirayı geçmemeli bilet ücreti diye. Bu ne biçim iş anlamadım doğrusu. Her şeye zam geldi, sinema koltuklarına da mı zam geldi? Biz de internetten izleriz filmleri o zaman. Bu fahiş f...Devamını oku"""
"Uğur Soğutma Ued 5218 Üretim Hatası Sorunları!,27.04.2020 tarihinde iki tane ued 5218 kodlu Uğur derin dondurucu aldık ( uğurun kalitesine güvenerek diğer markalara göre daha pahalı olmasına rağmen ) iki ürün de bir süre çalıştıktan sonra arıza verdi. Uğurdan problemimizi çözmesini bekliyoruz. Ya da bu üründe fabrika çıkışlı bir hata varsa alıp ...Devamını oku"
"Huawei Mobil Erişim Ara Ara Kesiliyor,Mobil veride internetim 30 Sn... İle 1 dakika sonra kesiliyor mobil veriyi kapatıp açıp kullanıyorum. Devamlı bu şekilde kullanıyorum bu sorun her bölgede aynı değil şehir içinde sorun yok. Kırsal kesimde şebeke direklerine çok yakın olmama rağmen başka telefonlarda olmuyor. Bu telefonda kesiliyor.Devamını oku"
"Continental Ön Ve Arka Lastiklerde Balon Oluştu Ve Bana Dönüş Sağlanmadı,""Şubat ayında Fiat'tan Egea marka annem adına engelli aracı aldım, yaklaşık 1 ay önce sağ ön ve arka lastiklerim de balon oluştu. Aracı aldığım yer ile görüşme yaptım, kullanıcı hatası diyerek bana yeni lastik satın almam gerektiğini söylediler. Sosyal medya üzerinden firmaları ve tüketici sendikalar...Devamını oku"""
"Philips Marathon Süpürge Boru Parçası Düşüyor!,""Philips Marathon süpürge aldım ama pişman oldum, adı var sadece, teleskop boru düşüyor, alalı 3 hafta oldu. Sıfır ürün aldığım günden beri berbat parçaları bir de evde hizmet var dendi. Ürün satana kadar. Yetkili servis bir de kendimi gideceğim.Devamını oku"""
"Siemens Bulaşık Makinesi Sorunu,2 Nisan perşembe günü yeni kurulumunu yaptırdığımız ve ilk yıkamasını yaptığımız Siemens ıQ300 bulaşık makinesi kurutmama şikayeti ile öncelikle servise başvurdum 3 Nisan cuma günü gelen servis yetkilisi 1 saatlik programı uzatarak 1.15 dakika. Olarak güncelledi ve sorunun düzeleceğini iletti fakat ...Devamını oku"
"X-Fit Spor Merkezleri Subayevleri Parayı Alıp Salonu Kapattı,""Subayevleri X-Fit şubesine eşimle birlikte 1 yıllık kayıt yaptırdık. Ücretleri nakit ve peşin ödedik. Üyelik bitiminde iade edeceklerini söyledikleri kart paralarını da verdik."
